artist,title
Athlete,Half Light
"Atif Aslam, Pritam & Sunidhi Chauhan",Be Intehaan
Atlantic Starr,Always
Atlas Fury,Blood on your Hands
Atomic Kitten,Eternal Flame
Atomic Kitten,It's Ok!
Atomic Kitten,Whole Again
Atomic Kitten,Ladies Night
Atomic Kitten,Southgate You're The One
Atomic Kitten,The Tide Is High
Audience,I Had A Dream
Audioslave,Cochise
Auli?i Cravalho,Beyond (Moana 2)
Aurora,Half The World Away
Ava Max,Kings & Queens
Ava Max,Maybe You're The Problem
Ava Max,My Head & My Heart
Ava Max,So Am I
Ava Max,Spot A Fake
Ava Max,Everytime I Cry
Ava Max,Sweet But Psycho
Ava Max,1 Wish
Ava Max,Lost Your Faith
Ava Max,"Wet, Hot American Dream"
Ava Max,Kill It Queen
Ava Max & Alan Walker,"Alone, Pt. II"
Aventura,Por un Segundo
Aventura,Princesita
Aventura,El Malo
Aventura,Tu Jueguito
Avicii,Addicted To You
Avicii,Waiting For Love
Avicii,Hey Brother
Avicii,The Nights
Avicii Feat. Aloe Blacc,SOS
Avicii Feat. Aloe Blacc,Wake Me Up!
Avicii Feat. Rita Ora,Lonely Together
Avicii Feat. Robbie Williams,The Days
Avicii Feat. Sandro Cavazza,Without You
Avicii vs. Nicky Romero,I Could Be The One
Avril Lavigne,Alice
Avril Lavigne,Freak Out
Avril Lavigne,Anything But Ordinary
Avril Lavigne,Complicated
Avril Lavigne,Forgotten
Avril Lavigne,Hot
Avril Lavigne,I Always Get What I Want
Avril Lavigne,I Don't Have To Try
Avril Lavigne,I'm With You
Avril Lavigne,Innocence
Avril Lavigne,Keep Holding On
Avril Lavigne,Nobody's Fool
Avril Lavigne,Nobody's Home
Avril Lavigne,Take Me Away
Avril Lavigne,Tell Me It's Over
Avril Lavigne,Things I'll Never Say
Avril Lavigne,When You're Gone
Avril Lavigne,Everything Back But You
Avril Lavigne,Fall To Pieces
Avril Lavigne,He Wasn't
Avril Lavigne,How Does It Feel
Avril Lavigne,Contagious
Avril Lavigne,Don't Tell Me
Avril Lavigne,Girlfriend
